whc,exp_runoff,exp_et,beta,delta,sum_correlation,n_variables,sm_corr,sm_rmse,sm_nse,sm_bias,ro_corr,ro_rmse,ro_nse,ro_bias,et_corr,et_rmse,et_nse,et_bias
210.0,2.0,0.2,0.4,0.2,2.471336860272721,3,0.8724649103632703,187.11337529428275,-18.388133657859274,-185.71463814474734,0.7019921764599028,1.6280092400368305,-1.0898162063236376,1.265653986741782,0.896879773449548,0.5319750757940779,0.6904292664756198,-0.32239573410746797
210.0,2.0,0.2,0.4,0.4,2.4670591997372764,3,0.8724649103632703,187.11337529428275,-18.388133657859274,-185.71463814474734,0.6977145159244584,1.891850146127161,-1.8220702959992758,1.2639905815659562,0.896879773449548,0.5319750757940779,0.6904292664756198,-0.32239573410746797
210.0,2.0,0.2,0.4,0.8,2.389597071048655,3,0.8724649103632703,187.11337529428275,-18.388133657859274,-185.71463814474734,0.620252387235837,3.034699479196196,-6.2614899748167785,1.2606637712143054,0.896879773449548,0.5319750757940779,0.6904292664756198,-0.32239573410746797
210.0,2.0,0.2,0.6,0.2,2.4692291260651222,3,0.8672501565645112,206.82687673043395,-22.68864865288525,-205.67745986126022,0.7105648526602466,1.3184075140888576,-0.3705462666399879,0.8361614070940617,0.8914141168403644,0.5932905488546926,0.6149543812555527,0.09443949536014737
210.0,2.0,0.2,0.6,0.4,2.472919993363816,3,0.8672501565645112,206.82687673043395,-22.68864865288525,-205.67745986126022,0.7142557199589404,1.54858630149343,-0.8908853119478639,0.8348559376668456,0.8914141168403644,0.5932905488546926,0.6149543812555527,0.09443949536014737
210.0,2.0,0.2,0.6,0.8,2.3949771789696115,3,0.8672501565645112,206.82687673043395,-22.68864865288525,-205.67745986126022,0.6363129055647359,2.571143247623124,-4.212510090133891,0.8322449988124139,0.8914141168403644,0.5932905488546926,0.6149543812555527,0.09443949536014737
210.0,2.0,0.2,0.8,0.2,2.437339567216558,3,0.8600444826550315,227.8067253392672,-27.738190645129176,-225.94610303115192,0.6971658529247641,1.1571184297017545,-0.05572300030620081,0.4869937671053636,0.8801292316367626,0.9546741605325341,0.003017209006312971,0.44221909954245237
210.0,2.0,0.2,0.8,0.4,2.4444909197462827,3,0.8600444826550315,227.8067253392672,-27.738190645129176,-225.94610303115192,0.7043172054544883,1.3635708420016344,-0.4660533464580501,0.48607240486815967,0.8801292316367626,0.9546741605325341,0.003017209006312971,0.44221909954245237
210.0,2.0,0.2,0.8,0.8,2.3696724601754875,3,0.8600444826550315,227.8067253392672,-27.738190645129176,-225.94610303115192,0.629498745883693,2.2882599086879636,-3.1286214547933877,0.48422968039375197,0.8801292316367626,0.9546741605325341,0.003017209006312971,0.44221909954245237
210.0,2.0,0.5,0.4,0.2,2.4520487597117766,3,0.86887354007838,184.21019777965284,-17.791163733905105,-182.6111061797498,0.6939883217626729,1.6931486748141031,-1.2603961134525332,1.3399363770321846,0.8891868978707234,0.5904123819164596,0.618681180759341,-0.39351758862010294
210.0,2.0,0.5,0.4,0.4,2.4470213460801498,3,0.86887354007838,184.21019777965284,-17.791163733905105,-182.6111061797498,0.6889609081310466,1.9634096131720327,-2.0395982647360533,1.3382104945691995,0.8891868978707234,0.5904123819164596,0.618681180759341,-0.39351758862010294
210.0,2.0,0.5,0.4,0.8,2.3712714286845573,3,0.86887354007838,184.21019777965284,-17.791163733905105,-182.6111061797498,0.6132109907354538,3.1273083129855666,-6.711444910646825,1.334758729643229,0.8891868978707234,0.5904123819164596,0.618681180759341,-0.39351758862010294
210.0,2.0,0.5,0.6,0.2,2.445587607032972,3,0.8631020923275473,199.30720323947037,-20.997449483298656,-198.14639573356436,0.7049035374966215,1.4174137807447462,-0.5841184914828323,0.9851891991679188,0.8775819772088033,0.5310788780572407,0.6914714314569033,-0.0516202681831702
210.0,2.0,0.5,0.6,0.4,2.4469693681050946,3,0.8631020923275473,199.30720323947037,-20.997449483298656,-198.14639573356436,0.706285298568744,1.6574164517525631,-1.165996011743156,0.9837201549434499,0.8775819772088033,0.5310788780572407,0.6914714314569033,-0.0516202681831702
210.0,2.0,0.5,0.6,0.8,2.369435363035157,3,0.8631020923275473,199.30720323947037,-20.997449483298656,-198.14639573356436,0.6287512934988062,2.7169147313143998,-4.8203135166875155,0.980782066494512,0.8775819772088033,0.5310788780572407,0.6914714314569033,-0.0516202681831702
210.0,2.0,0.5,0.8,0.2,2.41435517129905,3,0.8561415777585214,213.6171902070877,-24.269621428573902,-212.30303364971482,0.6973623066317561,1.2558438653657265,-0.24355689189115481,0.7057905626176731,0.8608512869087728,0.7447398242676436,0.3932825557282983,0.22259752867637847
210.0,2.0,0.5,0.8,0.4,2.42067763587983,3,0.8561415777585214,213.6171902070877,-24.269621428573902,-212.30303364971482,0.7036847712125356,1.475207474028259,-0.7159339618297076,0.7045584538709805,0.8608512869087728,0.7447398242676436,0.3932825557282983,0.22259752867637847
210.0,2.0,0.5,0.8,0.8,2.3456562934986342,3,0.8561415777585214,213.6171902070877,-24.269621428573902,-212.30303364971482,0.6286634288313404,2.4555770118657185,-3.7544630864699275,0.7020942363775947,0.8608512869087728,0.7447398242676436,0.3932825557282983,0.22259752867637847
210.0,2.0,0.8,0.4,0.2,2.43368823413513,3,0.8647160131321021,182.03197291633788,-17.349392534392248,-180.2488786224925,0.6870972292288091,1.7458597077943814,-1.403327999164243,1.398162633608945,0.881874991774219,0.6435039319644809,0.5470192611817114,-0.44902913021393503
210.0,2.0,0.8,0.4,0.4,2.428312406003993,3,0.8647160131321021,182.03197291633788,-17.349392534392248,-180.2488786224925,0.6817214010976722,2.021444688949101,-2.22194473653531,1.396392164491518,0.881874991774219,0.6435039319644809,0.5470192611817114,-0.44902913021393503
210.0,2.0,0.8,0.4,0.8,2.3541530379057707,3,0.8647160131321021,182.03197291633788,-17.349392534392248,-180.2488786224925,0.6075620329994496,3.202594919952487,-7.087203708199063,1.3928512262566641,0.881874991774219,0.6435039319644809,0.5470192611817114,-0.44902913021393503
210.0,2.0,0.8,0.6,0.2,2.4224170068166377,3,0.8571352923095137,194.54820380743507,-19.95949381705867,-193.2592275144428,0.6992774943593838,1.4944190312344197,-0.7609180333499308,1.0896588085636842,0.8660042201477401,0.5321440142659872,0.6902326154924813,-0.15311994144412558
210.0,2.0,0.8,0.6,0.4,2.422124978536414,3,0.8571352923095137,194.54820380743507,-19.95949381705867,-193.2592275144428,0.6989854660791598,1.7420933774421856,-1.3929698202833127,1.0880950000485916,0.8660042201477401,0.5321440142659872,0.6902326154924813,-0.15311994144412558
210.0,2.0,0.8,0.6,0.8,2.345409977757563,3,0.8571352923095137,194.54820380743507,-19.95949381705867,-193.2592275144428,0.622270465300309,2.8289684172296794,-5.31030803722963,1.0849673830184061,0.8660042201477401,0.5321440142659872,0.6902326154924813,-0.15311994144412558
210.0,2.0,0.8,0.8,0.2,2.39084051975742,3,0.8486861724821262,205.83228067091426,-22.46136690512454,-204.57664575146617,0.695708321928338,1.3367684402103988,-0.4089861668305874,0.8496448444871665,0.8464460253469561,0.6507177917848105,0.5368062522877104,0.08041827129987247
210.0,2.0,0.8,0.8,0.4,2.3954786639726358,3,0.8486861724821262,205.83228067091426,-22.46136690512454,-204.57664575146617,0.7003464661435531,1.56520698416871,-0.9316921549951422,0.8482612012236208,0.8464460253469561,0.6507177917848105,0.5368062522877104,0.08041827129987247
210.0,2.0,0.8,0.8,0.8,2.3202989005211676,3,0.8486861724821262,205.83228067091426,-22.46136690512454,-204.57664575146617,0.6251667026920853,2.5820615240732065,-4.256873594892658,0.8454939146965298,0.8464460253469561,0.6507177917848105,0.5368062522877104,0.08041827129987247
210.0,4.0,0.2,0.4,0.2,2.455840373227929,3,0.8786379374915896,173.25435653628836,-15.622435898010778,-171.1974831722142,0.6779242096839487,1.6573939424616395,-1.1659371795730689,1.214413088745553,0.8992782260523905,0.5157417125517832,0.7090342691010485,-0.2997782692831282
210.0,4.0,0.2,0.4,0.4,2.463624007187038,3,0.8786379374915896,173.25435653628836,-15.622435898010778,-171.1974831722142,0.685707843643058,1.9228260538262314,-1.9152402933465766,1.2123838904488815,0.8992782260523905,0.5157417125517832,0.7090342691010485,-0.2997782692831282
210.0,4.0,0.2,0.4,0.8,2.395024829760426,3,0.8786379374915896,173.25435653628836,-15.622435898010778,-171.1974831722142,0.617108666216446,3.067230851382246,-6.418007866382615,1.2083254938555386,0.8992782260523905,0.5157417125517832,0.7090342691010485,-0.2997782692831282
210.0,4.0,0.2,0.6,0.2,2.4516888435399267,3,0.8824855286765858,187.73625509808565,-18.517430427800694,-186.6297098682124,0.6733963853748302,1.4068017193403117,-0.560486955616309,0.7679651367838104,0.8958069294885107,0.6278000089477247,0.5688583682196525,0.14524787448784302
210.0,4.0,0.2,0.6,0.4,2.465390278158562,3,0.8824855286765858,187.73625509808565,-18.517430427800694,-186.6297098682124,0.6870978199934653,1.6442750992674076,-1.131784605614412,0.7661505934021546,0.8958069294885107,0.6278000089477247,0.5688583682196525,0.14524787448784302
210.0,4.0,0.2,0.6,0.8,2.399217785885525,3,0.8824855286765858,187.73625509808565,-18.517430427800694,-186.6297098682124,0.6209253277204282,2.6760019608068832,-4.646342475307454,0.7625215066388429,0.8958069294885107,0.6278000089477247,0.5688583682196525,0.14524787448784302
210.0,4.0,0.2,0.8,0.2,2.4191565211997554,3,0.8754920500888844,208.39886482588292,-23.050108334119866,-206.96305011331083,0.6561143401607292,1.283616506288119,-0.29916690289152537,0.4005272766172596,0.8875501309501419,1.0436108700268871,-0.19139154565446836,0.525404029883988
210.0,4.0,0.2,0.8,0.4,2.4303648158165028,3,0.8754920500888844,208.39886482588292,-23.050108334119866,-206.96305011331083,0.6673226347774764,1.5009294826116495,-0.7762943679909498,0.39914506854987647,0.8875501309501419,1.0436108700268871,-0.19139154565446836,0.525404029883988
210.0,4.0,0.2,0.8,0.8,2.364589697450451,3,0.8754920500888844,208.39886482588292,-23.050108334119866,-206.96305011331083,0.6015475164114246,2.43483991565049,-3.674500250111466,0.39638065241511006,0.8875501309501419,1.0436108700268871,-0.19139154565446836,0.525404029883988
210.0,4.0,0.5,0.4,0.2,2.442779441264544,3,0.8730940279637317,172.01073889682698,-15.384661063508808,-169.75668420760792,0.674653615366439,1.6930082264441455,-1.2600211247854038,1.2641258111346987,0.8950317979343734,0.5507459404785431,0.6681972850082648,-0.34836559360361
210.0,4.0,0.5,0.4,0.4,2.4497536606186907,3,0.8730940279637317,172.01073889682698,-15.384661063508808,-169.75668420760792,0.6816278347205856,1.9616683824568393,-2.0342093790334035,1.2620777754745423,0.8950317979343734,0.5507459404785431,0.6681972850082648,-0.34836559360361
210.0,4.0,0.5,0.4,0.8,2.3816107295638544,3,0.8730940279637317,172.01073889682698,-15.384661063508808,-169.75668420760792,0.6134849036657494,3.1177801161121454,-6.664526458504608,1.2579817041542296,0.8950317979343734,0.5507459404785431,0.6681972850082648,-0.34836559360361
210.0,4.0,0.5,0.6,0.2,2.4342490905323766,3,0.8752961568360098,183.32004900443263,-17.609995511189894,-181.9863670907954,0.6717326848863959,1.4558344372658882,-0.6711611785522347,0.8736570967702987,0.8872202488099707,0.5562067942648302,0.6615847657171132,0.03660626981828098
210.0,4.0,0.5,0.6,0.4,2.447537221945452,3,0.8752961568360098,183.32004900443263,-17.609995511189894,-181.9863670907954,0.6850208162994716,1.6980760394944736,-1.2735715688931015,0.8717600206659344,0.8872202488099707,0.5562067942648302,0.6615847657171132,0.03660626981828098
210.0,4.0,0.5,0.6,0.8,2.381447643300948,3,0.8752961568360098,183.32004900443263,-17.609995511189894,-181.9863670907954,0.6189312376549675,2.752262310285692,-4.972745470861339,0.867965868457206,0.8872202488099707,0.5562067942648302,0.6615847657171132,0.03660626981828098
210.0,4.0,0.5,0.8,0.2,2.403399978949322,3,0.8735205295311215,196.49384372959517,-20.380814002014912,-195.38040422120824,0.6560006313584563,1.3399767532702662,-0.4157575615806026,0.5670566884381563,0.8738788180597441,0.8532588358439664,0.20358594729488366,0.3499802900387347
210.0,4.0,0.5,0.8,0.4,2.417537969161666,3,0.8735205295311215,196.49384372959517,-20.380814002014912,-195.38040422120824,0.6701386215708006,1.564438204033177,-0.9297950489027131,0.5653621000433122,0.8738788180597441,0.8532588358439664,0.20358594729488366,0.3499802900387347
210.0,4.0,0.5,0.8,0.8,2.3539919973637415,3,0.8735205295311215,196.49384372959517,-20.380814002014912,-195.38040422120824,0.6065926497728761,2.5379456085504093,-4.078775110263236,0.5619729232536244,0.8738788180597441,0.8532588358439664,0.20358594729488366,0.3499802900387347
210.0,4.0,0.8,0.4,0.2,2.43024720845353,3,0.8677866858316529,171.0216660119168,-15.196777069794877,-168.59969244087335,0.6716892534176482,1.7240634278580111,-1.343693634946673,1.3058725536010627,0.8907712692042291,0.5850507433356378,0.6255753806506029,-0.3888358073781884
210.0,4.0,0.8,0.4,0.4,2.436552167660325,3,0.8677866858316529,171.0216660119168,-15.196777069794877,-168.59969244087335,0.6779942126244429,1.9956313131307462,-2.1401831679519265,1.3038098340438797,0.8907712692042291,0.5850507433356378,0.6255753806506029,-0.3888358073781884
210.0,4.0,0.8,0.4,0.8,2.368872735319507,3,0.8677866858316529,171.0216660119168,-15.196777069794877,-168.59969244087335,0.6103147802836254,3.1620095544491478,-6.883529872148064,1.2996843949295152,0.8907712692042291,0.5850507433356378,0.6255753806506029,-0.3888358073781884
210.0,4.0,0.8,0.6,0.2,2.41746110081771,3,0.8674436448406917,180.4949054526824,-17.04081842792352,-178.93653635957983,0.6704111316301484,1.4964592991572234,-0.7657295313502774,0.952980409865967,0.8796063243468701,0.5280203329732229,0.6950149022465919,-0.04386546420942245
210.0,4.0,0.8,0.6,0.4,2.4300416781251712,3,0.8674436448406917,180.4949054526824,-17.04081842792352,-178.93653635957983,0.6829917089376095,1.7426041888341335,-1.3943733448801376,0.9510365623265661,0.8796063243468701,0.5280203329732229,0.6950149022465919,-0.04386546420942245
210.0,4.0,0.8,0.6,0.8,2.3639078810275898,3,0.8674436448406917,180.4949054526824,-17.04081842792352,-178.93653635957983,0.6168579118400279,2.8140250489565473,-5.243818638004869,0.9471488672477641,0.8796063243468701,0.5280203329732229,0.6950149022465919,-0.04386546420942245
210.0,4.0,0.8,0.8,0.2,2.384834404190631,3,0.8643999512339442,190.5428439806355,-19.105349414205268,-189.32904805001743,0.6569195348287477,1.3774891596281145,-0.4961348574708704,0.6799000075826437,0.8635149181279391,0.745634149901205,0.39182451967547105,0.23194315014832526
210.0,4.0,0.8,0.8,0.4,2.399732105378013,3,0.8643999512339442,190.5428439806355,-19.105349414205268,-189.32904805001743,0.6718172360161296,1.6067699139013407,-1.035643599929208,0.6780922279937138,0.8635149181279391,0.745634149901205,0.39182451967547105,0.23194315014832526
210.0,4.0,0.8,0.8,0.8,2.3365496689761893,3,0.8643999512339442,190.5428439806355,-19.105349414205268,-189.32904805001743,0.608634799614306,2.605760751892312,-4.353815968096453,0.6744766688158543,0.8635149181279391,0.745634149901205,0.39182451967547105,0.23194315014832526
210.0,8.0,0.2,0.4,0.2,2.410772220390718,3,0.8560762469720511,165.2241107080323,-14.1172635707513,-162.30470664731502,0.6540544061397348,1.6764453132161254,-1.2160172864112129,1.15793287818871,0.9006415672789319,0.5063905343429315,0.7194899121809981,-0.28541181524053383
210.0,8.0,0.2,0.4,0.4,2.427198675004907,3,0.8560762469720511,165.2241107080323,-14.1172635707513,-162.30470664731502,0.6704808607539238,1.9437554819707707,-1.9790488464420046,1.1557721503979417,0.9006415672789319,0.5063905343429315,0.7194899121809981,-0.28541181524053383
210.0,8.0,0.2,0.4,0.8,2.3670702500374023,3,0.8560762469720511,165.2241107080323,-14.1172635707513,-162.30470664731502,0.6103524357864195,3.0909749631287413,-6.5333012775531305,1.1514506948164058,0.9006415672789319,0.5063905343429315,0.7194899121809981,-0.28541181524053383
210.0,8.0,0.2,0.6,0.2,2.4161349226453543,3,0.8764909354868924,175.3509577953083,-16.027175951504947,-173.84249524630377,0.641446115666651,1.4808948816809824,-0.7291904408051375,0.7110226214603393,0.8981978714918109,0.6545102851507094,0.5313913756972792,0.17849717894308353
210.0,8.0,0.2,0.6,0.4,2.4356483597363,3,0.8764909354868924,175.3509577953083,-16.027175951504947,-173.84249524630377,0.6609595527575965,1.7250518449054422,-1.3463817156183402,0.7089521178887445,0.8981978714918109,0.6545102851507094,0.5313913756972792,0.17849717894308353
210.0,8.0,0.2,0.6,0.8,2.3786555344934324,3,0.8764909354868924,175.3509577953083,-16.027175951504947,-173.84249524630377,0.6039667275147291,2.7690070444933843,-5.045642789621367,0.7048111107455548,0.8981978714918109,0.6545102851507094,0.5313913756972792,0.17849717894308353
210.0,8.0,0.2,0.8,0.2,2.393618006250203,3,0.8783246490202211,195.44725843297266,-20.153659275569755,-194.19496108588945,0.6243250976992128,1.3800515441392347,-0.5017062094174032,0.34107570372858653,0.8909682595307691,1.103383794624588,-0.33177398897168864,0.5770759536687142
210.0,8.0,0.2,0.8,0.4,2.40715950240127,3,0.8783246490202211,195.44725843297266,-20.153659275569755,-194.19496108588945,0.6378665938502796,1.6054477270398895,-1.0322947771747422,0.3393885971049878,0.8909682595307691,1.103383794624588,-0.33177398897168864,0.5770759536687142
210.0,8.0,0.2,0.8,0.8,2.3479446558153496,3,0.8783246490202211,195.44725843297266,-20.153659275569755,-194.19496108588945,0.5786517472643598,2.5527810634600243,-4.138324183858692,0.33601438385779075,0.8909682595307691,1.103383794624588,-0.33177398897168864,0.5770759536687142
210.0,8.0,0.5,0.4,0.2,2.4027438928177256,3,0.851268742811216,164.70192899221985,-14.021860007858221,-161.6432690491485,0.6530909074247249,1.6944497416031477,-1.2638713620299864,1.1895041577419514,0.8983842425817846,0.5268147229835966,0.6964060354562689,-0.317692857086533
210.0,8.0,0.5,0.4,0.4,2.41866978978994,3,0.851268742811216,164.70192899221985,-14.021860007858221,-161.6432690491485,0.6690168043969394,1.9631588091261059,-2.0388217636461534,1.187339708068269,0.8983842425817846,0.5268147229835966,0.6964060354562689,-0.317692857086533
210.0,8.0,0.5,0.4,0.8,2.358536012589737,3,0.851268742811216,164.70192899221985,-14.021860007858221,-161.6432690491485,0.6088830271967366,3.1162788785255713,-6.657147166450774,1.1830108087209055,0.8983842425817846,0.5268147229835966,0.6964060354562689,-0.317692857086533
210.0,8.0,0.5,0.6,0.2,2.4029587057086306,3,0.8692907467783216,172.76437351441942,-15.528548570156381,-170.95458901070435,0.6409847161986437,1.5029133366276974,-0.7809931064995885,0.7824528521681547,0.8926832427316652,0.5913817927117143,0.617427961609331,0.09991159786267056
210.0,8.0,0.5,0.6,0.4,2.4229934535099193,3,0.8692907467783216,172.76437351441942,-15.528548570156381,-170.95458901070435,0.6610194639999323,1.7493035677806916,-1.4128188973997542,0.7803581425975308,0.8926832427316652,0.5913817927117143,0.617427961609331,0.09991159786267056
210.0,8.0,0.5,0.6,0.8,2.3663523620223597,3,0.8692907467783216,172.76437351441942,-15.528548570156381,-170.95458901070435,0.6043783725123726,2.806690474452699,-5.2113128355635965,0.7761687234562833,0.8926832427316652,0.5913817927117143,0.617427961609331,0.09991159786267056
210.0,8.0,0.5,0.8,0.2,2.3832963296361425,3,0.88047813978279,184.8418471316491,-17.920252963836084,-183.7323496480933,0.6222679590795503,1.425346498577381,-0.6018995088891077,0.4669445912459561,0.8805502307738021,0.9450197447636645,0.023079796939395658,0.4396827419907698
210.0,8.0,0.5,0.8,0.4,2.400627116321525,3,0.88047813978279,184.8418471316491,-17.920252963836084,-183.7323496480933,0.6395987457649329,1.6557384978062515,-1.1616125608448522,0.4649883127769409,0.8805502307738021,0.9450197447636645,0.023079796939395658,0.4396827419907698
210.0,8.0,0.5,0.8,0.8,2.3448495700488676,3,0.88047813978279,184.8418471316491,-17.920252963836084,-183.7323496480933,0.5838211994922753,2.6328707780959277,-4.465796403476482,0.46107575583891075,0.8805502307738021,0.9450197447636645,0.023079796939395658,0.4396827419907698
210.0,8.0,0.8,0.4,0.2,2.394843454725933,3,0.8466714868371034,164.26611982427625,-13.942468066818753,-161.08864801339163,0.652215243612164,1.7109140851951194,-1.3080795079453678,1.2174007340584359,0.895956724276666,0.5478154206853061,0.6717189359291146,-0.3459043761318001
210.0,8.0,0.8,0.4,0.4,2.410287869891185,3,0.8466714868371034,164.26611982427625,-13.942468066818753,-161.08864801339163,0.6676596587774156,1.9809593292201384,-2.094179327338706,1.215233056248857,0.895956724276666,0.5478154206853061,0.6717189359291146,-0.3459043761318001
210.0,8.0,0.8,0.4,0.8,2.3501500804570776,3,0.8466714868371034,164.26611982427625,-13.942468066818753,-161.08864801339163,0.6075218693433083,3.1395016369888147,-6.771695735959086,1.2108977006297,0.895956724276666,0.5478154206853061,0.6717189359291146,-0.3459043761318001
210.0,8.0,0.8,0.6,0.2,2.3900756769316978,3,0.8614277981453726,171.09994404824442,-15.211607261624984,-169.0425429816683,0.6410812167110707,1.5214172337759477,-0.8251183207396517,0.8382755064556031,0.8875666620752544,0.5552021967348072,0.6628061247194186,0.038990075254824445
210.0,8.0,0.8,0.6,0.4,2.4102353637040377,3,0.8614277981453726,171.09994404824442,-15.211607261624984,-169.0425429816683,0.6612409034834108,1.7695550062914809,-1.469007994309865,0.8361669948562973,0.8875666620752544,0.5552021967348072,0.6628061247194186,0.038990075254824445
210.0,8.0,0.8,0.6,0.8,2.353635400476913,3,0.8614277981453726,171.09994404824442,-15.211607261624984,-169.0425429816683,0.604640940256286,2.8371765190054337,-5.346979207862835,0.831949971657686,0.8875666620752544,0.5552021967348072,0.6628061247194186,0.038990075254824445
210.0,8.0,0.8,0.8,0.2,2.3662209370346625,3,0.8708387212601431,179.97872827782905,-16.937780138596082,-178.6443563564654,0.6226214213290018,1.443083522130275,-0.6420156697105637,0.5501668417967064,0.8727607944455176,0.8484276179719695,0.2125791315376524,0.3466969153368054
210.0,8.0,0.8,0.8,0.4,2.385346941624392,3,0.8708387212601431,179.97872827782905,-16.937780138596082,-178.6443563564654,0.641747425918731,1.6763636009297043,-1.215801268119594,0.5481445487750973,0.8727607944455176,0.8484276179719695,0.2125791315376524,0.3466969153368054
